"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","1:18:54","1:18:54","3.63","2.8","173","196","775","25.0","17.5","52:15","4.2"
"Summary","1:18:54","1:18:54","3.63","2.8","173","196","775","25.0","17.5","52:15","4.2"
